Date,Open Interest,Noncommercial Long,Noncommercial Short,Noncommercial Spreads,Commercial Long,Commercial Short,Total Long,Total Short,Nonreportable Positions Long,Nonreportable Positions Short
1988-05-31 00:00:00,-1720.0,651.0,-235.0,-2345.0,-528.0,438.0,-2222.0,-2142.0,502.0,422.0
1988-06-15 00:00:00,747.0,-535.0,491.0,867.0,158.0,-867.0,490.0,491.0,257.0,256.0
1988-06-30 00:00:00,-3018.0,879.0,-866.0,-1210.0,-2503.0,-850.0,-2834.0,-2926.0,-184.0,-92.0
1988-07-15 00:00:00,4444.0,-617.0,1114.0,2768.0,2524.0,915.0,4675.0,4797.0,-231.0,-353.0
1988-07-29 00:00:00,-427.0,174.0,-1119.0,-127.0,-223.0,828.0,-176.0,-418.0,-251.0,-9.0
1988-08-15 00:00:00,700.0,32.0,1288.0,-623.0,850.0,-243.0,259.0,422.0,441.0,278.0
1988-08-31 00:00:00,3333.0,4066.0,-538.0,-282.0,-112.0,4392.0,3672.0,3572.0,-339.0,-239.0
1988-09-15 00:00:00,-3517.0,-3707.0,1289.0,-1704.0,2500.0,-2923.0,-2911.0,-3338.0,-606.0,-179.0
1988-09-30 00:00:00,2239.0,-141.0,-1991.0,1892.0,-484.0,1731.0,1267.0,1632.0,972.0,607.0
1988-10-14 00:00:00,220.0,-507.0,40.0,324.0,963.0,523.0,780.0,887.0,-560.0,-667.0
1988-10-31 00:00:00,443.0,259.0,3197.0,-2021.0,1965.0,-1042.0,203.0,134.0,240.0,309.0
1988-11-15 00:00:00,2115.0,873.0,-2075.0,2212.0,-1019.0,2086.0,2066.0,2223.0,49.0,-108.0
1988-11-30 00:00:00,-2564.0,-948.0,-1205.0,-519.0,-1283.0,-1203.0,-2750.0,-2927.0,186.0,363.0
1988-12-15 00:00:00,1628.0,-620.0,2238.0,-478.0,3168.0,455.0,2070.0,2215.0,-442.0,-587.0
1988-12-30 00:00:00,-5631.0,544.0,-1593.0,-1792.0,-4543.0,-2398.0,-5791.0,-5783.0,160.0,152.0
1989-01-13 00:00:00,1646.0,443.0,-167.0,817.0,72.0,335.0,1332.0,985.0,314.0,661.0
1989-01-31 00:00:00,1222.0,-1012.0,2699.0,416.0,1912.0,-1459.0,1316.0,1656.0,-94.0,-434.0
1989-02-15 00:00:00,549.0,634.0,-2627.0,-752.0,622.0,4387.0,504.0,1008.0,45.0,-459.0
1989-02-28 00:00:00,4325.0,4153.0,-672.0,-690.0,553.0,5035.0,4016.0,3673.0,309.0,652.0
1989-03-15 00:00:00,-1638.0,-4611.0,2622.0,-593.0,3878.0,-4128.0,-1326.0,-2099.0,-312.0,461.0
1989-03-31 00:00:00,32.0,147.0,-2483.0,529.0,-518.0,2857.0,158.0,903.0,-126.0,-871.0
1989-04-14 00:00:00,2441.0,-127.0,1402.0,-163.0,2719.0,701.0,2429.0,1940.0,12.0,501.0
1989-04-28 00:00:00,-734.0,-244.0,1906.0,-651.0,274.0,-1612.0,-621.0,-357.0,-113.0,-377.0
1989-05-15 00:00:00,-1373.0,176.0,-3310.0,-216.0,-1331.0,2071.0,-1371.0,-1455.0,-2.0,82.0
1989-05-31 00:00:00,-249.0,97.0,-27.0,-24.0,-632.0,-201.0,-559.0,-252.0,310.0,3.0
1989-06-15 00:00:00,-11569.0,-133.0,2582.0,64.0,-11185.0,-14058.0,-11254.0,-11412.0,-315.0,-157.0
1989-06-30 00:00:00,1528.0,652.0,-2544.0,1737.0,-1164.0,2206.0,1225.0,1399.0,303.0,129.0
1989-07-14 00:00:00,104.0,-346.0,-148.0,126.0,545.0,172.0,325.0,150.0,-221.0,-46.0
1989-07-31 00:00:00,17.0,353.0,0.0,13.0,-259.0,135.0,107.0,148.0,-90.0,-131.0
1989-08-15 00:00:00,180.0,398.0,228.0,-78.0,-317.0,-138.0,3.0,12.0,177.0,168.0
1989-08-31 00:00:00,360.0,663.0,172.0,-760.0,623.0,987.0,526.0,399.0,-166.0,-39.0
1989-09-15 00:00:00,-1621.0,32.0,-126.0,-153.0,-1488.0,-1069.0,-1609.0,-1348.0,-12.0,-273.0
1989-09-29 00:00:00,-336.0,-1490.0,1698.0,-546.0,1671.0,-1801.0,-365.0,-649.0,29.0,313.0
